vibration,temp_palier,debit,pression_entree,pression_sortie,courant_moteur,temp_moteur,heure_fonctionnement,fault,load,zone,y_fault
14.16079975818077,44.837,0.395,1.987,107.73,20.483717180345934,59.198716570996794,1103.0,bearing bpfi 1,100,ROL,1
14.578031401883743,44.837,0.395,1.987,107.73,20.301527441846407,58.52725134735656,1103.0,bearing bpfi 1,100,ROL,1
14.24532958380544,44.837,0.395,1.987,107.73,20.319233647175317,60.20173587903679,1103.0,bearing bpfi 1,100,ROL,1
15.247461213079184,44.837,0.395,1.987,107.73,20.294229714275538,60.19053324724344,1103.0,bearing bpfi 1,100,ROL,1
14.646324327411682,44.837,0.395,1.987,107.73,20.24356130652215,60.32087777902407,1103.0,bearing bpfi 1,100,ROL,1
14.903810799771895,44.837,0.395,1.987,107.73,20.246543175184943,58.89080864856497,1103.0,bearing bpfi 1,100,ROL,1
14.663040302626518,44.837,0.395,1.987,107.73,20.239491310486464,60.059365825102496,1103.0,bearing bpfi 1,100,ROL,1
15.1271211150853,44.837,0.395,1.987,107.73,20.228820787709033,60.314757493808294,1103.0,bearing bpfi 1,100,ROL,1
15.59133336873373,44.837,0.395,1.987,107.73,20.224981217633438,60.26957539471876,1103.0,bearing bpfi 1,100,ROL,1
14.745964183387791,44.837,0.395,1.987,107.73,20.179293198364224,60.08142584440178,1103.0,bearing bpfi 1,100,ROL,1
18.263474012538776,44.837,0.395,1.987,107.73,20.261084091996594,60.11993266935376,1103.0,bearing bpfi 2,100,ROL,1
18.306108670613604,44.837,0.395,1.987,107.73,20.207989530733013,59.60952385356816,1103.0,bearing bpfi 2,100,ROL,1
18.132196710654064,44.837,0.395,1.987,107.73,20.205152153641727,59.47947516172304,1103.0,bearing bpfi 2,100,ROL,1
18.308930303504034,44.837,0.395,1.987,107.73,20.180712643422016,60.046724599087476,1103.0,bearing bpfi 2,100,ROL,1
18.348838733573462,44.837,0.395,1.987,107.73,20.127640565049578,59.6728454924581,1103.0,bearing bpfi 2,100,ROL,1
19.595838701447807,44.837,0.395,1.987,107.73,20.28191913864362,59.56448991094171,1103.0,bearing bpfi 3,100,ROL,1
19.912764831697768,44.837,0.395,1.987,107.73,20.260100159268152,59.04859658345258,1103.0,bearing bpfi 3,100,ROL,1
19.9483753436094,44.837,0.395,1.987,107.73,20.198721541920108,59.669498377412516,1103.0,bearing bpfi 3,100,ROL,1
19.910834147699653,44.837,0.395,1.987,107.73,20.187476229661296,60.308733299500986,1103.0,bearing bpfi 3,100,ROL,1
19.915462103293223,44.837,0.395,1.987,107.73,20.13112608699822,59.442560062283434,1103.0,bearing bpfi 3,100,ROL,1
15.840548543130165,182.82577073647957,0.395,1.987,107.73,20.300838236598022,59.518737577179635,1103.0,bearing bpfo 1,100,ROL,1
13.697315645470873,44.837,0.395,1.987,107.73,20.246958690559705,60.09138867727882,1103.0,bearing bpfo 1,100,ROL,1
13.77361524281406,44.837,0.395,1.987,107.73,20.197508944876784,60.309473515378166,1103.0,bearing bpfo 1,100,ROL,1
13.999211620677041,44.837,0.395,1.987,107.73,20.210450474182334,60.03735786503167,1103.0,bearing bpfo 1,100,ROL,1
14.793016421074167,44.837,0.395,1.987,107.73,20.30359871261315,60.25072572696476,1103.0,bearing bpfo 2,100,ROL,1
14.67761436743556,44.837,0.395,1.987,107.73,20.242049562989095,59.82293713899308,1103.0,bearing bpfo 2,100,ROL,1
15.03163279609531,44.837,0.395,1.987,107.73,20.272761501719142,60.24956863854738,1103.0,bearing bpfo 2,100,ROL,1
14.7665921120739,44.837,0.395,1.987,107.73,20.241427957880926,59.59979049169869,1103.0,bearing bpfo 2,100,ROL,1
14.671552286315672,44.837,0.395,1.987,107.73,20.273846373995507,60.13357855362648,1103.0,bearing bpfo 2,100,ROL,1
14.91110436503446,44.837,0.395,1.987,107.73,20.190254139679947,59.24049407475457,1103.0,bearing bpfo 2,100,ROL,1
14.618436387670291,44.837,0.395,1.987,107.73,20.17499588958119,58.82794513504855,1103.0,bearing bpfo 2,100,ROL,1
16.347091383637295,44.837,0.395,1.987,107.73,20.353319492579658,58.93721226599911,1103.0,bearing bpfo 3,100,ROL,1
16.38620774250591,44.837,0.395,1.987,107.73,20.275937673123313,58.849926165654466,1103.0,bearing bpfo 3,100,ROL,1
16.114660800633924,44.837,0.395,1.987,107.73,20.272463053136715,58.808904293755546,1103.0,bearing bpfo 3,100,ROL,1
16.108056985813548,44.837,0.395,1.987,107.73,20.305841918024612,60.41151004561872,1103.0,bearing bpfo 3,100,ROL,1
16.15989931608685,44.837,0.395,1.987,107.73,20.257453238822844,59.473513302158,1103.0,bearing bpfo 3,100,ROL,1
16.006536503115633,44.837,0.395,1.987,107.73,20.20659246441959,58.586488029874104,1103.0,bearing bpfo 3,100,ROL,1
16.054802883169778,44.837,0.395,1.987,107.73,20.27509253616379,60.301449523249225,1103.0,bearing bpfo 3,100,ROL,1
20.165591527624436,44.837,0.395,1.987,107.73,20.316208462422004,58.973513328374324,1103.0,bearing bsf,100,ROL,1
20.209827113008664,44.837,0.395,1.987,107.73,20.253890502295253,60.04533521534944,1103.0,bearing bsf,100,ROL,1
20.314136647773452,44.837,0.395,1.987,107.73,20.188102842328295,58.76344064435463,1103.0,bearing bsf,100,ROL,1
20.23712893153164,44.837,0.395,1.987,107.73,20.20636412389115,58.83630071336161,1103.0,bearing bsf,100,ROL,1
20.50596124581174,44.837,0.395,1.987,107.73,20.20065554064476,59.03785627969955,1103.0,bearing bsf,100,ROL,1
